title,department,location,posting_date,remote,region,url
University Recruiter,Operations,"San Francisco, CA",2025-12-08T22:16:37.002+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/f1d6b8d6-570a-4d19-8cf5-8145fc93c1ae
University Recruiter,Operations,"New York, NY",2025-12-09T19:30:30.203+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/257dca7b-39a2-4f43-9310-f1d83bf7670f
Field Marketing Manager,Marketing & Communications,London,2026-01-05T20:37:40.611+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/98c89e11-17f2-42a6-8ea3-2bd4dd10d313
"Software Engineer, Agent",Engineering,Munich,2025-12-16T18:57:31.442+00:00,Yes,Not specified,https://jobs.ashbyhq.com/Sierra/8646493c-93a6-482e-a810-4a0aa6e3438f
"Strategist, Agent Development ",Product,Munich,2025-12-16T18:58:15.203+00:00,Yes,Not specified,https://jobs.ashbyhq.com/Sierra/44120ba5-4cf7-48a1-86af-7981c41c179e
"Enterprise Account Executive, Europe",Sales,Munich,2025-12-16T19:01:03.524+00:00,Yes,Not specified,https://jobs.ashbyhq.com/Sierra/a9e0b5c2-3b06-4dba-94eb-ca8fb057d70c
"Intern, Agent Development (Summer 2026)",Early Career,"San Francisco, CA",2025-12-17T16:45:31.262+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/8bb2509d-9215-4cb5-8cf1-2bf0dbade6d8
"Software Engineer, Mobile",Engineering,"San Francisco, CA",2026-01-06T00:35:27.057+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/a0b9444b-2354-4db3-8fe8-87892e2e282e
Executive Assistant & Office Manager,Operations,Singapore,2025-12-23T02:54:59.301+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/65c94596-4221-45be-a2a8-3c5e0b1dd36c
Recruiting Operations Specialist,Operations,"San Francisco, CA",2025-12-22T21:36:47.839+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/f673561e-aece-4df9-ae46-55779dc6a9d8
Recruiting Coordinator (Contract),Operations,Singapore,2026-01-08T04:54:25.514+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/501e1173-4e62-4b54-bb43-9d3af0f5972d
"Strategist, Agent Development",Product,Singapore,2026-01-08T06:38:25.591+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/08d96098-7213-44af-98da-f62366189f3b
Business Recruiter,Operations,"New York, NY",2026-01-06T20:02:11.760+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/ff42dfcd-826c-4824-ae56-f5f8746a58e3
Business Recruiter,Operations,"Atlanta, GA",2026-01-06T20:02:18.715+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/3e808d8e-99ed-486b-b98c-93d7386c017d
Business Recruiter,Operations,"San Francisco, CA",2026-01-06T20:02:05.017+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/487b644c-3cec-4756-90dc-9a8aa80bf8b2
Technical Recruiter,Operations,"San Francisco, CA",2026-01-06T20:01:48.096+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/df8055a2-9b28-4e98-97f8-8c714e2fedc8
Technical Recruiter,Operations,"Atlanta, GA",2026-01-06T20:01:31.956+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/ed3afe74-3a31-4496-9dd0-1e68d6324e85
Technical Recruiter,Operations,London,2026-01-06T21:51:25.420+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/9a630c65-af8c-461b-8fd4-b52ccb431f6f
Business Recruiter,Operations,London,2026-01-06T21:51:18.402+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/d9c7693d-2bc9-452a-94e8-f322366922fd
"Software Engineer, Security",Engineering,"San Francisco, CA",2026-01-07T22:15:42.038+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/201c6046-acb5-4fd4-a685-e993f34ec0d1
Pricing Strategy and Operations,Operations,"San Francisco, CA",2026-01-09T04:24:14.934+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/39e15cc4-a16e-4ddb-b609-a345e2dd67c8
Web Producer,Marketing & Communications,"San Francisco, CA",2026-01-13T21:17:20.544+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/876920df-7c3a-4e20-a9fe-52df474e6c47
Field Marketing Associate,Marketing & Communications,London,2026-01-26T11:13:30.047+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/5450ecdd-5d3d-42fb-ade8-7431e236c096
Commercial Counsel,Legal,London,2026-01-16T17:58:38.054+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/58302161-9564-464d-b1e8-a316fed5a063
Enterprise Sales Leader,Sales,US - Remote,2026-01-16T22:32:30.143+00:00,Yes,Not specified,https://jobs.ashbyhq.com/Sierra/a4376f1f-10bd-4804-899e-4b98b8245198
Privacy Counsel,Legal,"San Francisco, CA",2026-02-04T23:09:36.885+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/00e3508a-3008-422d-9c1a-b5ca808f3335
Payroll Manager,Operations,"San Francisco, CA",2026-01-15T21:44:28.764+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/cc548c92-55b6-40b6-91f3-2754270a82b0
Global Benefits Manager,Operations,"San Francisco, CA",2026-01-15T18:44:17.472+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/8d30e19d-73fd-4ebc-9cb2-83fc25f6a76e
Event Coordinator,Marketing & Communications,"San Francisco, CA",2026-01-26T03:36:46.128+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/f0417df5-1ac7-4524-92f2-dd3406813b0a
Enterprise Sales Leader,Sales,Paris,2026-02-02T20:51:48.970+00:00,Yes,Not specified,https://jobs.ashbyhq.com/Sierra/2da4e2ef-2cf3-4df5-9dcd-972bc2a0fb1c
Business Systems Engineer,Operations,"San Francisco, CA",2026-01-29T19:00:05.861+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/1c991675-099f-49dd-9b9b-bd3c9111e65c
Product Counsel,Legal,"San Francisco, CA",2026-02-04T23:02:43.416+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/1571022b-e563-44af-a089-db96c633f693
"Software Engineer, Identity & Enterprise Platform",Engineering,"San Francisco, CA",2026-02-04T21:09:46.335+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/fc6eaada-479c-4ff6-be79-7e267b9ed2b4
Developer Relations Engineer,Partnerships,"New York, NY",2026-02-06T17:22:42.616+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/06453dd1-a29f-4aea-bb06-2d49862860e8
Developer Relations Engineer,Partnerships,London,2026-02-06T17:39:39.429+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/23efd6e0-a64d-4421-b684-bbd44e5c752e
"Product Manager, Agent SDK",Product,"San Francisco, CA",2026-02-07T02:52:17.078+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/10d2e2f1-6657-40c9-b6fb-6999c76df6cf
"Product Manager, Agent Lifecycle",Product,"San Francisco, CA",2026-02-07T02:55:55.372+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/c84a16e1-1e65-45d6-a2e5-a0394d7a6b87
Office Coordinator (Contract),Operations,"San Francisco, CA",2026-02-10T22:14:02.850+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/ae9e7e56-df4e-420f-8130-91b4c59e0fb0
"Agent Experience Designer, Voice (Multilingual)",Product Design,"San Francisco, CA",2026-02-10T19:18:52.581+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/1a0e307f-7f02-4971-820c-a244ad909617
Creative Program Manager,Marketing & Communications,"San Francisco, CA",2026-02-11T16:11:36.403+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/1143e9a3-8530-4874-830e-3489470a4e35
Web Designer,Marketing & Communications,"San Francisco, CA",2026-02-11T16:12:31.588+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/c4f0dfdb-fe96-48da-82b4-656409eda52a
"Product Manager, Intelligence",Product,"San Francisco, CA",2026-02-11T00:32:36.358+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/b0f8c328-9bc9-49a4-a2ec-20be2d585286
"Product Manager, Agent Memory",Product,"San Francisco, CA",2026-02-11T00:33:40.471+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/f3cb6d60-9c79-4015-9923-877bfa708b40
